50X50
7:x=0y=0player=0,7:x=10y=0player=0,7:x=20y=0player=0,7:x=30y=0player=0,7:x=40y=0player=0,7:x=50y=0player=0,7:x=60y=0player=0,7:x=70y=0player=0,7:x=80y=0player=0,7:x=90y=0player=0,7:x=100y=0player=0,7:x=110y=0player=0,7:x=120y=0player=0,7:x=130y=0player=0,7:x=140y=0player=0,7:x=150y=0player=0,7:x=160y=0player=0,7:x=170y=0player=0,7:x=180y=0player=0,7:x=190y=0player=0,7:x=200y=0player=0,7:x=210y=0player=0,7:x=220y=0player=0,7:x=230y=0player=0,7:x=240y=0player=0,7:x=250y=0player=0,7:x=260y=0player=0,7:x=270y=0player=0,7:x=280y=0player=0,7:x=290y=0player=0,7:x=300y=0player=0,7:x=310y=0player=0,7:x=320y=0player=0,7:x=330y=0player=0,7:x=340y=0player=0,7:x=350y=0player=0,7:x=360y=0player=0,7:x=370y=0player=0,7:x=380y=0player=0,7:x=390y=0player=0,7:x=400y=0player=0,7:x=410y=0player=0,7:x=420y=0player=0,7:x=430y=0player=0,7:x=440y=0player=0,7:x=450y=0player=0,7:x=460y=0player=0,7:x=470y=0player=0,7:x=480y=0player=0,7:x=490y=0player=0
7:x=0y=110player=0,3:x=10y=110player=0,3:x=20y=110player=0,3:x=30y=110player=0,3:x=40y=110player=0,3:x=50y=110player=0,3:x=60y=110player=0,3:x=70y=110player=0,3:x=80y=110player=0,3:x=90y=110player=0,3:x=100y=110player=0,3:x=110y=110player=0,3:x=120y=110player=0,3:x=130y=110player=0,3:x=140y=110player=0,3:x=150y=110player=0,3:x=160y=110player=0,3:x=170y=110player=0,3:x=180y=110player=0,3:x=190y=110player=0,3:x=200y=110player=0,3:x=210y=110player=0,4:x=220y=110player=0,4:x=230y=110player=0,4:x=240y=110player=0,3:x=250y=110player=0,3:x=260y=110player=0,3:x=270y=110player=0,3:x=280y=110player=0,3:x=290y=110player=0,3:x=300y=110player=0,3:x=310y=110player=0,3:x=320y=110player=0,3:x=330y=110player=0,3:x=340y=110player=0,3:x=350y=110player=0,3:x=360y=110player=0,3:x=370y=110player=0,3:x=380y=110player=0,3:x=390y=110player=0,3:x=400y=110player=0,3:x=410y=110player=0,3:x=420y=110player=0,3:x=430y=110player=0,3:x=440y=110player=0,3:x=450y=110player=0,3:x=460y=110player=0,3:x=470y=110player=0,3:x=480y=110player=0,7:x=490y=110player=0
7:x=0y=120player=0,3:x=10y=120player=0,3:x=20y=120player=0,3:x=30y=120player=0,3:x=40y=120player=0,3:x=50y=120player=0,3:x=60y=120player=0,3:x=70y=120player=0,3:x=80y=120player=0,3:x=90y=120player=0,3:x=100y=120player=0,3:x=110y=120player=0,3:x=120y=120player=0,3:x=130y=120player=0,3:x=140y=120player=0,3:x=150y=120player=0,3:x=160y=120player=0,3:x=170y=120player=0,3:x=180y=120player=0,3:x=190y=120player=0,3:x=200y=120player=0,3:x=210y=120player=0,4:x=220y=120player=0,4:x=230y=120player=0,4:x=240y=120player=0,3:x=250y=120player=0,3:x=260y=120player=0,3:x=270y=120player=0,3:x=280y=120player=0,3:x=290y=120player=0,3:x=300y=120player=0,3:x=310y=120player=0,3:x=320y=120player=0,3:x=330y=120player=0,3:x=340y=120player=0,3:x=350y=120player=0,3:x=360y=120player=0,3:x=370y=120player=0,3:x=380y=120player=0,3:x=390y=120player=0,3:x=400y=120player=0,3:x=410y=120player=0,3:x=420y=120player=0,3:x=430y=120player=0,3:x=440y=120player=0,3:x=450y=120player=0,3:x=460y=120player=0,3:x=470y=120player=0,3:x=480y=120player=0,7:x=490y=120player=0
7:x=0y=130player=0,3:x=10y=130player=0,3:x=20y=130player=0,3:x=30y=130player=0,3:x=40y=130player=0,3:x=50y=130player=0,3:x=60y=130player=0,3:x=70y=130player=0,3:x=80y=130player=0,3:x=90y=130player=0,3:x=100y=130player=0,3:x=110y=130player=0,3:x=120y=130player=0,3:x=130y=130player=0,3:x=140y=130player=0,3:x=150y=130player=0,3:x=160y=130player=0,3:x=170y=130player=0,3:x=180y=130player=0,3:x=190y=130player=0,3:x=200y=130player=0,3:x=210y=130player=0,4:x=220y=130player=0,4:x=230y=130player=0,4:x=240y=130player=0,3:x=250y=130player=0,3:x=260y=130player=0,3:x=270y=130player=0,3:x=280y=130player=0,3:x=290y=130player=0,3:x=300y=130player=0,3:x=310y=130player=0,3:x=320y=130player=0,3:x=330y=130player=0,3:x=340y=130player=0,3:x=350y=130player=0,3:x=360y=130player=0,3:x=370y=130player=0,3:x=380y=130player=0,3:x=390y=130player=0,3:x=400y=130player=0,3:x=410y=130player=0,3:x=420y=130player=0,3:x=430y=130player=0,3:x=440y=130player=0,3:x=450y=130player=0,3:x=460y=130player=0,3:x=470y=130player=0,3:x=480y=130player=0,7:x=490y=130player=0
7:x=0y=140player=0,3:x=10y=140player=0,3:x=20y=140player=0,3:x=30y=140player=0,3:x=40y=140player=0,3:x=50y=140player=0,3:x=60y=140player=0,3:x=70y=140player=0,3:x=80y=140player=0,3:x=90y=140player=0,3:x=100y=140player=0,3:x=110y=140player=0,3:x=120y=140player=0,3:x=130y=140player=0,3:x=140y=140player=0,3:x=150y=140player=0,3:x=160y=140player=0,3:x=170y=140player=0,3:x=180y=140player=0,3:x=190y=140player=0,3:x=200y=140player=0,3:x=210y=140player=0,4:x=220y=140player=0,4:x=230y=140player=0,4:x=240y=140player=0,3:x=250y=140player=0,3:x=260y=140player=0,3:x=270y=140player=0,3:x=280y=140player=0,3:x=290y=140player=0,3:x=300y=140player=0,3:x=310y=140player=0,3:x=320y=140player=0,3:x=330y=140player=0,3:x=340y=140player=0,3:x=350y=140player=0,3:x=360y=140player=0,3:x=370y=140player=0,3:x=380y=140player=0,3:x=390y=140player=0,3:x=400y=140player=0,3:x=410y=140player=0,3:x=420y=140player=0,3:x=430y=140player=0,3:x=440y=140player=0,3:x=450y=140player=0,3:x=460y=140player=0,3:x=470y=140player=0,3:x=480y=140player=0,7:x=490y=140player=0
7:x=0y=150player=0,3:x=10y=150player=0,3:x=20y=150player=0,3:x=30y=150player=0,3:x=40y=150player=0,3:x=50y=150player=0,3:x=60y=150player=0,3:x=70y=150player=0,3:x=80y=150player=0,3:x=90y=150player=0,3:x=100y=150player=0,3:x=110y=150player=0,3:x=120y=150player=0,3:x=130y=150player=0,3:x=140y=150player=0,3:x=150y=150player=0,3:x=160y=150player=0,3:x=170y=150player=0,3:x=180y=150player=0,3:x=190y=150player=0,3:x=200y=150player=0,3:x=210y=150player=0,4:x=220y=150player=0,4:x=230y=150player=0,4:x=240y=150player=0,3:x=250y=150player=0,3:x=260y=150player=0,3:x=270y=150player=0,3:x=280y=150player=0,3:x=290y=150player=0,3:x=300y=150player=0,3:x=310y=150player=0,3:x=320y=150player=0,3:x=330y=150player=0,3:x=340y=150player=0,3:x=350y=150player=0,3:x=360y=150player=0,3:x=370y=150player=0,3:x=380y=150player=0,3:x=390y=150player=0,3:x=400y=150player=0,3:x=410y=150player=0,3:x=420y=150player=0,3:x=430y=150player=0,3:x=440y=150player=0,3:x=450y=150player=0,3:x=460y=150player=0,3:x=470y=150player=0,3:x=480y=150player=0,7:x=490y=150player=0
7:x=0y=160player=0,3:x=10y=160player=0,3:x=20y=160player=0,3:x=30y=160player=0,3:x=40y=160player=0,3:x=50y=160player=0,3:x=60y=160player=0,3:x=70y=160player=0,3:x=80y=160player=0,3:x=90y=160player=0,3:x=100y=160player=0,3:x=110y=160player=0,3:x=120y=160player=0,3:x=130y=160player=0,3:x=140y=160player=0,3:x=150y=160player=0,3:x=160y=160player=0,3:x=170y=160player=0,3:x=180y=160player=0,3:x=190y=160player=0,3:x=200y=160player=0,3:x=210y=160player=0,4:x=220y=160player=0,4:x=230y=160player=0,4:x=240y=160player=0,4:x=250y=160player=0,3:x=260y=160player=0,3:x=270y=160player=0,3:x=280y=160player=0,3:x=290y=160player=0,3:x=300y=160player=0,3:x=310y=160player=0,3:x=320y=160player=0,3:x=330y=160player=0,3:x=340y=160player=0,3:x=350y=160player=0,3:x=360y=160player=0,3:x=370y=160player=0,3:x=380y=160player=0,3:x=390y=160player=0,3:x=400y=160player=0,3:x=410y=160player=0,3:x=420y=160player=0,3:x=430y=160player=0,3:x=440y=160player=0,3:x=450y=160player=0,3:x=460y=160player=0,3:x=470y=160player=0,3:x=480y=160player=0,7:x=490y=160player=0
7:x=0y=170player=0,3:x=10y=170player=0,3:x=20y=170player=0,3:x=30y=170player=0,3:x=40y=170player=0,3:x=50y=170player=0,3:x=60y=170player=0,3:x=70y=170player=0,3:x=80y=170player=0,3:x=90y=170player=0,3:x=100y=170player=0,3:x=110y=170player=0,3:x=120y=170player=0,3:x=130y=170player=0,3:x=140y=170player=0,3:x=150y=170player=0,3:x=160y=170player=0,3:x=170y=170player=0,3:x=180y=170player=0,3:x=190y=170player=0,3:x=200y=170player=0,3:x=210y=170player=0,4:x=220y=170player=0,4:x=230y=170player=0,4:x=240y=170player=0,3:x=250y=170player=0,3:x=260y=170player=0,3:x=270y=170player=0,3:x=280y=170player=0,3:x=290y=170player=0,3:x=300y=170player=0,3:x=310y=170player=0,3:x=320y=170player=0,3:x=330y=170player=0,3:x=340y=170player=0,3:x=350y=170player=0,3:x=360y=170player=0,3:x=370y=170player=0,3:x=380y=170player=0,3:x=390y=170player=0,3:x=400y=170player=0,3:x=410y=170player=0,3:x=420y=170player=0,3:x=430y=170player=0,3:x=440y=170player=0,3:x=450y=170player=0,3:x=460y=170player=0,3:x=470y=170player=0,3:x=480y=170player=0,7:x=490y=170player=0
7:x=0y=180player=0,3:x=10y=180player=0,3:x=20y=180player=0,3:x=30y=180player=0,3:x=40y=180player=0,3:x=50y=180player=0,3:x=60y=180player=0,3:x=70y=180player=0,3:x=80y=180player=0,3:x=90y=180player=0,3:x=100y=180player=0,3:x=110y=180player=0,3:x=120y=180player=0,3:x=130y=180player=0,3:x=140y=180player=0,3:x=150y=180player=0,3:x=160y=180player=0,3:x=170y=180player=0,3:x=180y=180player=0,3:x=190y=180player=0,3:x=200y=180player=0,3:x=210y=180player=0,4:x=220y=180player=0,4:x=230y=180player=0,4:x=240y=180player=0,3:x=250y=180player=0,3:x=260y=180player=0,3:x=270y=180player=0,3:x=280y=180player=0,3:x=290y=180player=0,3:x=300y=180player=0,3:x=310y=180player=0,3:x=320y=180player=0,3:x=330y=180player=0,3:x=340y=180player=0,3:x=350y=180player=0,3:x=360y=180player=0,3:x=370y=180player=0,3:x=380y=180player=0,3:x=390y=180player=0,3:x=400y=180player=0,3:x=410y=180player=0,3:x=420y=180player=0,3:x=430y=180player=0,3:x=440y=180player=0,3:x=450y=180player=0,3:x=460y=180player=0,3:x=470y=180player=0,3:x=480y=180player=0,7:x=490y=180player=0
7:x=0y=190player=0,3:x=10y=190player=0,3:x=20y=190player=0,3:x=30y=190player=0,3:x=40y=190player=0,3:x=50y=190player=0,3:x=60y=190player=0,3:x=70y=190player=0,3:x=80y=190player=0,3:x=90y=190player=0,3:x=100y=190player=0,3:x=110y=190player=0,3:x=120y=190player=0,3:x=130y=190player=0,3:x=140y=190player=0,3:x=150y=190player=0,3:x=160y=190player=0,3:x=170y=190player=0,3:x=180y=190player=0,3:x=190y=190player=0,3:x=200y=190player=0,3:x=210y=190player=0,4:x=220y=190player=0,4:x=230y=190player=0,4:x=240y=190player=0,3:x=250y=190player=0,3:x=260y=190player=0,3:x=270y=190player=0,3:x=280y=190player=0,3:x=290y=190player=0,3:x=300y=190player=0,3:x=310y=190player=0,3:x=320y=190player=0,3:x=330y=190player=0,3:x=340y=190player=0,3:x=350y=190player=0,3:x=360y=190player=0,3:x=370y=190player=0,3:x=380y=190player=0,3:x=390y=190player=0,3:x=400y=190player=0,3:x=410y=190player=0,3:x=420y=190player=0,3:x=430y=190player=0,3:x=440y=190player=0,3:x=450y=190player=0,3:x=460y=190player=0,3:x=470y=190player=0,3:x=480y=190player=0,7:x=490y=190player=0
7:x=0y=200player=0,3:x=10y=200player=0,4:x=20y=200player=0,4:x=30y=200player=0,4:x=40y=200player=0,4:x=50y=200player=0,4:x=60y=200player=0,4:x=70y=200player=0,4:x=80y=200player=0,4:x=90y=200player=0,4:x=100y=200player=0,4:x=110y=200player=0,4:x=120y=200player=0,4:x=130y=200player=0,4:x=140y=200player=0,4:x=150y=200player=0,4:x=160y=200player=0,4:x=170y=200player=0,4:x=180y=200player=0,4:x=190y=200player=0,4:x=200y=200player=0,4:x=210y=200player=0,4:x=220y=200player=0,4:x=230y=200player=0,4:x=240y=200player=0,3:x=250y=200player=0,3:x=260y=200player=0,3:x=270y=200player=0,3:x=280y=200player=0,3:x=290y=200player=0,3:x=300y=200player=0,3:x=310y=200player=0,3:x=320y=200player=0,3:x=330y=200player=0,3:x=340y=200player=0,3:x=350y=200player=0,3:x=360y=200player=0,3:x=370y=200player=0,3:x=380y=200player=0,3:x=390y=200player=0,3:x=400y=200player=0,3:x=410y=200player=0,3:x=420y=200player=0,3:x=430y=200player=0,3:x=440y=200player=0,3:x=450y=200player=0,3:x=460y=200player=0,3:x=470y=200player=0,3:x=480y=200player=0,7:x=490y=200player=0
7:x=0y=210player=0,3:x=10y=210player=0,3:x=20y=210player=0,3:x=30y=210player=0,3:x=40y=210player=0,3:x=50y=210player=0,3:x=60y=210player=0,3:x=70y=210player=0,3:x=80y=210player=0,3:x=90y=210player=0,4:x=100y=210player=0,3:x=110y=210player=0,3:x=120y=210player=0,3:x=130y=210player=0,3:x=140y=210player=0,3:x=150y=210player=0,3:x=160y=210player=0,3:x=170y=210player=0,3:x=180y=210player=0,3:x=190y=210player=0,3:x=200y=210player=0,3:x=210y=210player=0,4:x=220y=210player=0,4:x=230y=210player=0,4:x=240y=210player=0,3:x=250y=210player=0,3:x=260y=210player=0,3:x=270y=210player=0,3:x=280y=210player=0,3:x=290y=210player=0,3:x=300y=210player=0,3:x=310y=210player=0,3:x=320y=210player=0,3:x=330y=210player=0,3:x=340y=210player=0,3:x=350y=210player=0,3:x=360y=210player=0,3:x=370y=210player=0,3:x=380y=210player=0,3:x=390y=210player=0,3:x=400y=210player=0,3:x=410y=210player=0,3:x=420y=210player=0,3:x=430y=210player=0,3:x=440y=210player=0,3:x=450y=210player=0,3:x=460y=210player=0,3:x=470y=210player=0,3:x=480y=210player=0,7:x=490y=210player=0
